Location,Latitude,Longitude
SR at Bartram’s Garden,39.93345,-75.20819
SR at Schuylkill Banks,39.95181,-75.18108
Chester Waterfront,39.834821,-75.372207
National Park Battlefield Park,39.870183,-75.191331
Washington Avenue Green,39.932115,-75.140613
Penns Landing ,39.9458,-75.13986
Penn Treaty Park ,39.966,-75.12734
Pyne Poynt ,39.957888,-75.11444
CR at Kaighns Ave,39.933176,-75.086133
Camden CSO ,39.965122,-75.091119
Pennsauken Boat Launch ,39.981027,-75.066045
USGS gage Castor Ave,40.015833,-75.097222
PWD NE CSO,40.0161,-75.1075
Frankford Boat Launch,40.007211,-75.055878
Palmyra Cove Nature Park ,40.009172,-75.042703
